circuit,mode,metric,budget,coverage_mean,coverage_std,coverage_min,coverage_max,total_faults,detected_faults,seeds,patterns,control_points,observe_points,added_pis,added_pos,area_pct,delay_pct,wirelength_proxy,ppa_source
c880,cp,cop,16,98.552,0.39,97.86,98.91,1920,1896,5,1000,16,0,48,0,13.7143,0.0,28.1471,analytical
c880,cp,cop,32,98.576,0.22,98.41,98.99,2080,2047,5,1000,32,0,96,0,27.4286,16.9312,56.8529,analytical
c880,cp,cop,64,99.02,0.211,98.67,99.21,2400,2380,5,1000,64,0,192,0,54.8571,21.6931,110.853,analytical
c1355,mixed,cop,0,98.116,0.359,97.71,98.78,2710,2658,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c1355,mixed,cop,4,98.13,0.355,97.73,98.79,2726,2674,5,1000,0,4,0,4,0.655022,0.0,7.79487,analytical
c1355,mixed,cop,8,98.14,0.355,97.74,98.8,2742,2690,5,1000,0,8,0,8,1.31004,0.0,15.5897,analytical
c1355,mixed,cop,16,98.162,0.351,97.76,98.81,2774,2722,5,1000,0,16,0,16,2.62009,0.0,31.1795,analytical
c1355,mixed,cop,32,98.224,0.338,97.84,98.85,2870,2818,5,1000,0,32,0,32,5.24017,0.0,61.5385,analytical
c1355,mixed,cop,64,98.314,0.322,97.95,98.91,3030,2978,5,1000,0,64,0,64,10.4803,0.0,123.077,analytical
c1355,op,cop,0,98.116,0.359,97.71,98.78,2710,2658,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c1355,op,cop,4,98.13,0.355,97.73,98.79,2726,2674,5,1000,0,4,0,4,0.655022,0.0,7.79487,analytical
c1355,op,cop,8,98.14,0.355,97.74,98.8,2742,2690,5,1000,0,8,0,8,1.31004,0.0,15.5897,analytical
c1355,op,cop,16,98.162,0.351,97.76,98.81,2774,2722,5,1000,0,16,0,16,2.62009,0.0,31.1795,analytical
c1355,op,cop,32,98.224,0.338,97.84,98.85,2870,2818,5,1000,0,32,0,32,5.24017,0.0,61.5385,analytical
c1355,op,cop,64,98.314,0.322,97.95,98.91,3030,2978,5,1000,0,64,0,64,10.4803,0.0,123.077,analytical
c1355,cp,cop,0,98.116,0.359,97.71,98.78,2710,2658,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c1355,cp,cop,4,98.274,0.35,97.85,98.73,2750,2697,5,1000,4,0,12,0,2.62009,10.8696,7.79487,analytical
c1355,cp,cop,8,98.036,0.641,97.24,98.89,2790,2721,5,1000,8,0,24,0,5.24017,10.8696,15.5897,analytical
c1355,cp,cop,16,98.064,0.372,97.46,98.5,2870,2810,5,1000,16,0,48,0,10.4803,10.8696,31.1795,analytical
c1355,cp,cop,32,98.074,0.213,97.85,98.45,3030,2983,5,1000,32,0,96,0,20.9607,15.2174,61.5385,analytical
c1355,cp,cop,64,98.006,0.226,97.7,98.3,3350,3273,5,1000,64,0,192,0,41.9214,15.2174,123.077,analytical
c1908,mixed,cop,0,94.56,0.674,93.68,95.28,3816,3621,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c1908,mixed,cop,4,94.59,0.67,93.72,95.31,3838,3643,5,1000,0,4,0,4,0.394867,0.0,7.31667,analytical
c1908,mixed,cop,8,94.624,0.665,93.76,95.34,3860,3665,5,1000,0,8,0,8,0.789733,0.0,14.0833,analytical
c1908,mixed,cop,16,94.676,0.658,93.82,95.38,3900,3705,5,1000,0,16,0,16,1.57947,0.0,28.05,analytical
c1908,mixed,cop,32,94.784,0.649,93.94,95.48,3980,3785,5,1000,0,32,0,32,3.15893,0.0,56.1667,analytical
c1908,mixed,cop,64,93.108,0.95,91.35,93.91,4172,3904,5,1000,6,58,18,58,8.09477,3.05344,105.667,analytical
c1908,op,cop,0,94.56,0.674,93.68,95.28,3816,3621,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c1908,op,cop,4,94.59,0.67,93.72,95.31,3838,3643,5,1000,0,4,0,4,0.394867,0.0,7.31667,analytical
c1908,op,cop,8,94.624,0.665,93.76,95.34,3860,3665,5,1000,0,8,0,8,0.789733,0.0,14.0833,analytical
c1908,op,cop,16,94.676,0.658,93.82,95.38,3900,3705,5,1000,0,16,0,16,1.57947,0.0,28.05,analytical
c1908,op,cop,32,94.784,0.649,93.94,95.48,3980,3785,5,1000,0,32,0,32,3.15893,0.0,56.1667,analytical
c1908,op,cop,64,95.008,0.6,94.03,95.7,4138,3941,5,1000,0,64,0,64,6.31787,0.0,105.667,analytical
c1908,cp,cop,0,94.56,0.674,93.68,95.28,3816,3621,5,1000,0,0,0,0,0.0,0.0,0.0,baseline
c1908,cp,cop,4,94.912,0.689,93.78,95.8,3856,3659,5,1000,4,0,12,0,1.57947,1.14504,7.31667,analytical
c1908,cp,cop,8,94.792,0.591,93.63,95.28,3896,3701,5,1000,8,0,24,0,3.15893,3.05344,14.0833,analytical
c1908,cp,cop,16,94.122,0.846,92.66,94.97,3976,3774,5,1000,16,0,48,0,6.31787,6.10687,28.05,analytical
c1908,cp,cop,32,93.632,1.031,92.41,94.95,4136,3827,5,1000,32,0,96,0,12.6357,11.4504,56.1667,analytical
c1908,cp,cop,64,89.418,1.623,87.39,92.35,4456,3978,5,1000,64,0,192,0,25.2715,27.4809,105.667,analytical
